,Movie,MovieCode,Year,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
95,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30764994,"Shadix, Glenn",2
96,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30828925,"Tan, Philip",2
97,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30932653,"Zanuck, Richard D.",3
98,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30282593,"Frauenfelder, Katterli",3
99,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30363542,"Heinrichs, Rick",2
100,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30481927,"Lebenzon, Chris",7
101,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30530473,"Marie, Lisa (I)",3
102,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30727445,"Rousselot, Philippe",3
103,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30728300,"Roy, Deep",3
104,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30764994,"Shadix, Glenn",2
105,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30828925,"Tan, Philip",2
106,Planet of the Apes_2001,21001876,2001,30243631,"Elfman, Danny",30932653,"Zanuck, Richard D.",3
107,Planet of the Apes_2001,21001876,2001,30282593,"Frauenfelder, Katterli",30481927,"Lebenzon, Chris",3
108,Planet of the Apes_2001,21001876,2001,30282593,"Frauenfelder, Katterli",30727445,"Rousselot, Philippe",3
109,Planet of the Apes_2001,21001876,2001,30282593,"Frauenfelder, Katterli",30728300,"Roy, Deep",3
110,Planet of the Apes_2001,21001876,2001,30282593,"Frauenfelder, Katterli",30932653,"Zanuck, Richard D.",3
111,Planet of the Apes_2001,21001876,2001,30363542,"Heinrichs, Rick",30481927,"Lebenzon, Chris",2
112,Planet of the Apes_2001,21001876,2001,30363542,"Heinrichs, Rick",30530473,"Marie, Lisa (I)",2
113,Planet of the Apes_2001,21001876,2001,30481927,"Lebenzon, Chris",30530473,"Marie, Lisa (I)",4
114,Planet of the Apes_2001,21001876,2001,30481927,"Lebenzon, Chris",30727445,"Rousselot, Philippe",3
115,Planet of the Apes_2001,21001876,2001,30481927,"Lebenzon, Chris",30728300,"Roy, Deep",3
116,Planet of the Apes_2001,21001876,2001,30481927,"Lebenzon, Chris",30932653,"Zanuck, Richard D.",3
117,Planet of the Apes_2001,21001876,2001,30727445,"Rousselot, Philippe",30728300,"Roy, Deep",3
118,Planet of the Apes_2001,21001876,2001,30727445,"Rousselot, Philippe",30932653,"Zanuck, Richard D.",3
119,Planet of the Apes_2001,21001876,2001,30728300,"Roy, Deep",30932653,"Zanuck, Richard D.",3
120,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30083861,"Bonham Carter, Helena",3
121,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30114716,"Burton, Tim (I)",3
122,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30243631,"Elfman, Danny",3
123,Big Fish_2003,21004171,2003,30033839,"August, John (I)",30282593,"Frauenfelder, Katterli",2
