,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
561,30435271,"Keaton, Michael",30564616,"Melniker, Benjamin",2
562,30435271,"Keaton, Michael",30659177,"Peters, Jon (I)",2
563,30435271,"Keaton, Michael",30861594,"Uslan, Michael (V)",2
569,30564616,"Melniker, Benjamin",30659177,"Peters, Jon (I)",2
572,30659177,"Peters, Jon (I)",30861594,"Uslan, Michael (V)",2
650,30114716,"Burton, Tim (I)",30761674,"Selick, Henry",2
652,30114716,"Burton, Tim (I)",30891776,"Webb, Stan (I)",2
653,30214482,"Di Novi, Denise",30761674,"Selick, Henry",2
655,30214482,"Di Novi, Denise",30891776,"Webb, Stan (I)",2
657,30761674,"Selick, Henry",30891776,"Webb, Stan (I)",2
